algorithm,width,height,run,gen_time_ms,coverage,floor_tiles
Rooms,60,60,0,8.768,32.53,1171
Rooms,60,60,1,7.102,32.53,1171
Rooms,60,60,2,6.031,32.53,1171
Rooms,60,60,3,5.209,32.53,1171
Rooms,60,60,4,5.207,32.53,1171
Rooms,60,60,5,5.223,32.53,1171
Rooms,60,60,6,5.176,32.53,1171
Rooms,60,60,7,5.211,32.53,1171
Rooms,60,60,8,4.340,32.53,1171
Rooms,60,60,9,3.539,32.53,1171
Rooms,60,60,10,5.419,32.53,1171
Rooms,60,60,11,4.767,32.53,1171
Rooms,60,60,12,5.026,32.53,1171
Rooms,60,60,13,5.153,32.53,1171
Rooms,60,60,14,5.196,32.53,1171
Rooms,60,60,15,5.148,32.53,1171
Rooms,60,60,16,5.120,32.53,1171
Rooms,60,60,17,5.209,32.53,1171
Rooms,60,60,18,5.153,32.53,1171
Rooms,60,60,19,5.246,32.53,1171
Rooms,60,60,20,5.033,32.53,1171
Rooms,60,60,21,4.967,32.53,1171
Rooms,60,60,22,5.213,32.53,1171
Rooms,60,60,23,5.042,32.53,1171
Rooms,60,60,24,5.109,32.53,1171
Rooms,60,60,25,5.062,32.53,1171
Rooms,60,60,26,5.136,32.53,1171
Rooms,60,60,27,5.224,32.53,1171
Rooms,60,60,28,5.027,32.53,1171
Rooms,60,60,29,5.059,32.53,1171
Rooms,60,60,30,5.098,32.53,1171
Rooms,60,60,31,5.217,32.53,1171
Rooms,60,60,32,5.190,32.53,1171
Rooms,60,60,33,5.153,32.53,1171
Rooms,60,60,34,5.182,32.53,1171
Rooms,60,60,35,5.156,32.53,1171
Rooms,60,60,36,5.221,32.53,1171
Rooms,60,60,37,5.145,32.53,1171
Rooms,60,60,38,5.135,32.53,1171
Rooms,60,60,39,5.161,32.53,1171
Rooms,60,60,40,5.174,32.53,1171
Rooms,60,60,41,5.147,32.53,1171
Rooms,60,60,42,5.196,32.53,1171
Rooms,60,60,43,5.141,32.53,1171
Rooms,60,60,44,5.184,32.53,1171
Rooms,60,60,45,5.140,32.53,1171
Rooms,60,60,46,5.085,32.53,1171
Rooms,60,60,47,5.117,32.53,1171
Rooms,60,60,48,5.128,32.53,1171
Rooms,60,60,49,5.156,32.53,1171
Rooms,60,60,50,5.155,32.53,1171
Rooms,60,60,51,5.052,32.53,1171
Rooms,60,60,52,5.170,32.53,1171
Rooms,60,60,53,5.019,32.53,1171
Rooms,60,60,54,5.142,32.53,1171
Rooms,60,60,55,5.083,32.53,1171
Rooms,60,60,56,4.577,32.53,1171
Rooms,60,60,57,5.228,32.53,1171
Rooms,60,60,58,5.106,32.53,1171
Rooms,60,60,59,5.137,32.53,1171
Rooms,60,60,60,5.155,32.53,1171
Rooms,60,60,61,5.245,32.53,1171
Rooms,60,60,62,5.134,32.53,1171
Rooms,60,60,63,5.167,32.53,1171
Rooms,60,60,64,5.086,32.53,1171
Rooms,60,60,65,5.156,32.53,1171
Rooms,60,60,66,5.005,32.53,1171
Rooms,60,60,67,5.034,32.53,1171
Rooms,60,60,68,4.972,32.53,1171
Rooms,60,60,69,5.183,32.53,1171
Rooms,60,60,70,5.117,32.53,1171
Rooms,60,60,71,5.130,32.53,1171
Rooms,60,60,72,5.163,32.53,1171
Rooms,60,60,73,4.887,32.53,1171
Rooms,60,60,74,4.784,32.53,1171
Rooms,60,60,75,5.157,32.53,1171
Rooms,60,60,76,5.309,32.53,1171
Rooms,60,60,77,5.129,32.53,1171
Rooms,60,60,78,5.182,32.53,1171
Rooms,60,60,79,5.090,32.53,1171
Rooms,60,60,80,5.226,32.53,1171
Rooms,60,60,81,5.068,32.53,1171
Rooms,60,60,82,5.077,32.53,1171
Rooms,60,60,83,5.065,32.53,1171
Rooms,60,60,84,5.170,32.53,1171
Rooms,60,60,85,5.120,32.53,1171
Rooms,60,60,86,5.098,32.53,1171
Rooms,60,60,87,5.138,32.53,1171
Rooms,60,60,88,5.083,32.53,1171
Rooms,60,60,89,5.159,32.53,1171
Rooms,60,60,90,5.121,32.53,1171
Rooms,60,60,91,5.117,32.53,1171
Rooms,60,60,92,5.186,32.53,1171
Rooms,60,60,93,4.621,32.53,1171
Rooms,60,60,94,4.569,32.53,1171
Rooms,60,60,95,4.669,32.53,1171
Rooms,60,60,96,4.647,32.53,1171
Rooms,60,60,97,4.743,32.53,1171
Rooms,60,60,98,4.916,32.53,1171
Rooms,60,60,99,4.784,32.53,1171
Rooms,60,60,100,4.935,32.53,1171
Rooms,60,60,101,5.014,32.53,1171
Rooms,60,60,102,5.153,32.53,1171
Rooms,60,60,103,5.162,32.53,1171
Rooms,60,60,104,5.165,32.53,1171
Rooms,60,60,105,5.146,32.53,1171
Rooms,60,60,106,5.080,32.53,1171
Rooms,60,60,107,5.172,32.53,1171
Rooms,60,60,108,5.081,32.53,1171
Rooms,60,60,109,5.113,32.53,1171
Rooms,60,60,110,5.209,32.53,1171
Rooms,60,60,111,5.138,32.53,1171
Rooms,60,60,112,5.061,32.53,1171
Rooms,60,60,113,5.182,32.53,1171
Rooms,60,60,114,5.136,32.53,1171
Rooms,60,60,115,5.158,32.53,1171
Rooms,60,60,116,5.190,32.53,1171
Rooms,60,60,117,5.093,32.53,1171
Rooms,60,60,118,5.185,32.53,1171
Rooms,60,60,119,5.147,32.53,1171
Rooms,60,60,120,5.171,32.53,1171
Rooms,60,60,121,5.148,32.53,1171
Rooms,60,60,122,5.148,32.53,1171
Rooms,60,60,123,5.205,32.53,1171
Rooms,60,60,124,5.140,32.53,1171
Rooms,60,60,125,5.060,32.53,1171
Rooms,60,60,126,5.025,32.53,1171
Rooms,60,60,127,5.115,32.53,1171
Rooms,60,60,128,4.786,32.53,1171
Rooms,60,60,129,3.766,32.53,1171
Rooms,60,60,130,3.136,32.53,1171
Rooms,60,60,131,4.528,32.53,1171
Rooms,60,60,132,4.855,32.53,1171
Rooms,60,60,133,5.141,32.53,1171
Rooms,60,60,134,4.958,32.53,1171
Rooms,60,60,135,5.066,32.53,1171
Rooms,60,60,136,5.217,32.53,1171
Rooms,60,60,137,5.148,32.53,1171
Rooms,60,60,138,5.061,32.53,1171
Rooms,60,60,139,5.018,32.53,1171
Rooms,60,60,140,5.022,32.53,1171
Rooms,60,60,141,5.034,32.53,1171
Rooms,60,60,142,5.089,32.53,1171
Rooms,60,60,143,5.103,32.53,1171
Rooms,60,60,144,5.014,32.53,1171
Rooms,60,60,145,5.142,32.53,1171
Rooms,60,60,146,5.228,32.53,1171
Rooms,60,60,147,5.105,32.53,1171
Rooms,60,60,148,5.159,32.53,1171
Rooms,60,60,149,5.078,32.53,1171
Rooms,60,60,150,5.073,32.53,1171
Rooms,60,60,151,5.106,32.53,1171
Rooms,60,60,152,5.091,32.53,1171
Rooms,60,60,153,5.144,32.53,1171
Rooms,60,60,154,4.984,32.53,1171
