algorithm,size,cells,n,time_mean,time_std,time_min,time_max,coverage_mean,coverage_std,coverage_min,coverage_max
BSP,20x50,1000,10,0.8172,0.02847533045364784,0.788,0.882,42.5,0.0,42.5,42.5
BSP,70x30,2100,10,4.3088999999999995,0.7088830729472317,3.706,6.007,43.29,0.0,43.29,43.29
BSP,60x60,3600,10,6.2084,0.7787266244039409,5.626,8.13,50.92,0.0,50.92,50.92
BSP,100x100,10000,10,10.6658,1.6678640232345086,9.218,14.487,53.42,0.0,53.42,53.42
BSP,150x150,22500,10,20.2958,0.20341626723981063,20.054,20.556,52.56,0.0,52.56,52.56
Cellular,20x50,1000,10,7.315299999999999,0.11270418507461587,7.213,7.569,59.4,0.0,59.4,59.4
Cellular,70x30,2100,10,15.6126,0.42184336218817353,15.361,16.788,63.95,0.0,63.95,63.95
Cellular,60x60,3600,10,27.643900000000002,0.9082687377643245,27.249,30.223,65.94,0.0,65.94,65.94
Cellular,100x100,10000,10,78.2116,0.20595857188603137,77.93,78.544,70.91,0.0,70.91,70.91
Cellular,150x150,22500,10,177.6523,0.3335626044854464,177.094,178.219,72.26,0.0,72.26,72.26
Drunkards,20x50,1000,10,2.4954,0.40871321105255326,2.135,3.302,50.0,0.0,50.0,50.0
Drunkards,70x30,2100,10,8.8143,1.5245191628109416,7.617,12.325,50.05,0.0,50.05,50.05
Drunkards,60x60,3600,10,9.6848,2.902470281214492,7.801,16.58,50.03,0.0,50.03,50.03
Drunkards,100x100,10000,10,22.442,0.20413013278570896,22.155,22.908,50.0,0.0,50.0,50.0
Drunkards,150x150,22500,10,55.57469999999999,0.2610308836559806,55.332,56.207,50.0,0.0,50.0,50.0
Maze,20x50,1000,10,1.1789999999999998,0.2516037448935219,0.951,1.67,57.4,0.0,57.4,57.4
Maze,70x30,2100,10,5.6191,0.6020534214023056,4.865,6.696,56.48,0.0,56.48,56.48
Maze,60x60,3600,10,4.195600000000001,0.5080988967601571,3.651,4.926,60.11,0.0,60.11,60.11
Maze,100x100,10000,10,11.3972,1.6635622955306217,10.115,15.257,61.42,0.0,61.42,61.42
Maze,150x150,22500,10,23.6291,0.07191422359697262,23.497,23.727,64.02,0.0,64.02,64.02
Rooms,20x50,1000,10,1.1453,0.2441534353639122,0.944,1.624,42.9,0.0,42.9,42.9
Rooms,70x30,2100,10,4.8298000000000005,0.32713225324188216,4.653,5.746,31.1,0.0,31.1,31.1
Rooms,60x60,3600,10,5.753,1.7636164864026165,2.746,9.611,32.53,0.0,32.53,32.53
Rooms,100x100,10000,10,11.419,2.1471353525621577,9.864,16.676,43.81,0.0,43.81,43.81
Rooms,150x150,22500,10,27.237299999999998,0.1598958341476655,27.025,27.451,54.09000000000001,0.0,54.09,54.09
